tid,comm,samples,mean_cpu_percent,max_cpu_percent,dominant_core,last_cpu
6571,ov2_est,3865,59.965,151.322,2,3
6572,ov2_lc,3974,35.958,151.663,1,2
6570,ov2_main,4275,25.174,134.029,2,2
6569,ov2_map,3974,9.243,112.848,0,0
6658,ov2_main,3965,7.134,57.274,2,2
6659,ov2_main,3965,6.731,57.775,2,2
6660,ov2_main,3965,6.199,57.775,0,0
6566,recvUC,4303,1.318,38.325,1,0
6556,ov2slam_node,5208,0.854,114.495,0,2
6573,ov2_feed,3865,0.870,38.547,2,0
10897,ov2_main,282,8.293,115.246,1,1
10896,ov2_main,282,7.136,95.565,0,3
10895,ov2_main,282,6.946,115.246,3,0
10894,ov2_main,282,6.741,115.246,0,0
6568,ov2slam_node,4275,0.194,19.237,3,3
6564,tev,4303,0.055,19.262,1,1
6557,ov2slam_nod-ust,4303,0.000,0.000,3,3
6558,ov2slam_nod-ust,4303,0.000,0.000,1,1
6559,ov2slam_node,4303,0.000,0.000,1,3
6560,ov2slam_node,4275,0.000,0.000,1,1
6561,gc,4303,0.000,0.000,3,3
6562,dq.builtins,4303,0.000,0.000,2,0
6563,dq.user,4303,0.000,0.000,3,3
6565,recv,4303,0.000,0.000,3,1
6567,ov2slam_node,4303,0.000,0.000,2,0
6805,ov2_merge,1,0.000,0.000,2,2
6811,ov2_merge,1,0.000,0.000,2,2
6817,ov2_merge,1,0.000,0.000,2,2
6893,ov2_merge,1,0.000,0.000,3,3
6898,ov2_merge,2,0.000,0.000,2,2
6903,ov2_merge,1,0.000,0.000,3,3
6955,ov2_merge,3,0.000,0.000,2,2
6961,ov2_merge,1,0.000,0.000,2,2
6975,ov2_merge,2,0.000,0.000,0,0
6979,ov2_merge,4,0.000,0.000,2,2
6983,ov2_merge,2,0.000,0.000,2,2
7021,ov2_merge,2,0.000,0.000,2,2
7030,ov2_merge,3,0.000,0.000,1,1
7036,ov2_merge,3,0.000,0.000,2,2
7045,ov2_merge,10,0.000,0.000,2,2
7048,ov2_merge,9,0.000,0.000,0,0
7051,ov2_merge,8,0.000,0.000,0,0
7054,ov2_merge,7,0.000,0.000,0,0
7058,ov2_merge,5,0.000,0.000,1,1
7064,ov2_merge,2,0.000,0.000,0,0
7068,ov2_merge,4,0.000,0.000,0,0
7072,ov2_merge,2,0.000,0.000,0,0
7075,ov2_merge,1,0.000,0.000,0,0
7079,ov2_merge,1,0.000,0.000,0,0
7086,ov2_merge,2,0.000,0.000,0,0
7089,ov2_merge,1,0.000,0.000,0,0
7095,ov2_merge,2,0.000,0.000,2,2
7104,ov2_merge,1,0.000,0.000,0,0
7108,ov2_merge,3,0.000,0.000,0,0
7122,ov2_merge,1,0.000,0.000,2,2
7125,ov2_merge,2,0.000,0.000,0,0
7128,ov2_merge,1,0.000,0.000,0,0
7132,ov2_merge,2,0.000,0.000,2,2
7135,ov2_merge,2,0.000,0.000,0,0
7140,ov2_merge,1,0.000,0.000,2,2
7150,ov2_merge,1,0.000,0.000,0,0
7154,ov2_merge,3,0.000,0.000,1,1
7159,ov2_merge,2,0.000,0.000,1,1
7164,ov2_merge,1,0.000,0.000,1,1
7168,ov2_merge,2,0.000,0.000,1,1
7174,ov2_merge,4,0.000,0.000,2,2
7178,ov2_merge,2,0.000,0.000,0,0
7187,ov2_merge,5,0.000,0.000,0,0
7191,ov2_merge,3,0.000,0.000,2,2
7197,ov2_merge,3,0.000,0.000,0,0
7201,ov2_merge,1,0.000,0.000,3,3
7209,ov2_merge,7,0.000,0.000,2,2
7214,ov2_merge,5,0.000,0.000,3,3
7222,ov2_merge,12,0.000,0.000,3,3
7228,ov2_merge,9,0.000,0.000,0,0
7233,ov2_merge,7,0.000,0.000,2,2
7236,ov2_merge,5,0.000,0.000,0,0
7241,ov2_merge,2,0.000,0.000,0,0
8016,ov2_merge,11,0.000,0.000,3,3
8024,ov2_merge,3,0.000,0.000,1,1
8035,ov2_merge,1,0.000,0.000,2,2
8098,ov2_vizfr,1,0.000,0.000,1,1
8200,ov2_vizfr,1,0.000,0.000,2,2
8518,ov2_merge,7,0.000,0.000,3,1
8555,ov2_merge,1,0.000,0.000,0,0
8572,ov2_merge,1,0.000,0.000,1,1
8577,ov2_merge,5,0.000,0.000,1,1
8619,ov2_merge,1,0.000,0.000,0,0
8646,ov2_vizfr,1,0.000,0.000,0,0
8723,ov2_merge,8,0.000,0.000,0,0
8728,ov2_merge,5,0.000,0.000,2,2
8733,ov2_merge,3,0.000,0.000,0,0
8739,ov2_merge,2,0.000,0.000,0,0
8745,ov2_merge,1,0.000,0.000,1,1
8751,ov2_merge,4,0.000,0.000,1,1
8778,ov2_merge,1,0.000,0.000,1,1
8840,ov2_merge,1,0.000,0.000,1,1
8889,ov2_merge,1,0.000,0.000,3,3
8909,ov2_merge,3,0.000,0.000,2,2
9321,ov2_merge,5,0.000,0.000,1,1
9326,ov2_merge,3,0.000,0.000,1,1
9332,ov2_merge,4,0.000,0.000,1,1
9340,ov2_merge,4,0.000,0.000,1,1
9347,ov2_merge,1,0.000,0.000,1,1
9350,ov2_merge,2,0.000,0.000,3,2
9355,ov2_merge,1,0.000,0.000,2,2
9380,ov2_merge,2,0.000,0.000,1,1
9407,ov2_merge,2,0.000,0.000,1,1
9759,ov2_merge,9,0.000,0.000,0,0
9881,ov2_merge,1,0.000,0.000,0,0
9931,ov2_merge,10,0.000,0.000,1,1
9993,ov2_merge,11,0.000,0.000,2,2
10108,ov2_merge,1,0.000,0.000,1,1
10357,ov2_merge,1,0.000,0.000,0,0
10455,ov2_merge,7,0.000,0.000,1,1
10721,ov2_merge,7,0.000,0.000,1,3
10726,ov2_merge,4,0.000,0.000,2,2
10732,ov2_merge,1,0.000,0.000,2,2
10820,ov2_merge,8,0.000,0.000,0,0
10826,ov2_merge,3,0.000,0.000,0,0
